iter	Passed	Remaining
0	56	56178
1	57	28516
2	57	19228
3	58	14566
4	59	11764
5	59	9889
6	60	8548
7	60	7549
8	61	6769
9	62	6152
10	62	5641
11	63	5232
12	64	4890
13	65	4581
14	65	4319
15	66	4081
16	66	3871
17	67	3685
18	68	3520
19	68	3380
20	69	3247
21	70	3128
22	72	3085
23	73	2979
24	73	2884
25	74	2793
26	75	2710
27	75	2632
28	76	2560
29	79	2557
30	79	2493
31	80	2435
32	81	2379
33	81	2326
34	82	2277
35	84	2272
36	85	2226
37	86	2182
38	86	2140
39	87	2100
40	88	2063
41	88	2027
42	89	1992
43	90	1959
44	90	1928
45	91	1897
46	92	1870
47	92	1842
48	93	1818
49	94	1794
50	95	1770
51	95	1747
52	96	1722
53	97	1700
54	97	1678
55	98	1657
56	98	1637
57	99	1617
58	100	1599
59	100	1580
60	101	1563
61	102	1549
62	102	1531
63	103	1514
64	104	1499
65	104	1484
66	105	1468
67	105	1449
68	106	1435
69	107	1421
70	107	1408
71	108	1396
72	108	1383
73	109	1370
74	110	1357
75	110	1345
76	111	1334
77	111	1322
78	112	1311
79	113	1300
80	113	1290
81	114	1280
82	114	1269
83	115	1260
84	115	1248
85	116	1239
86	116	1227
87	117	1218
88	118	1209
89	118	1201
90	119	1193
91	120	1192
92	123	1200
93	123	1192
94	124	1185
95	125	1177
96	125	1169
97	126	1162
98	126	1155
99	127	1148
100	128	1141
101	128	1132
102	129	1125
103	129	1118
104	130	1112
105	131	1106
106	131	1100
107	132	1093
108	133	1087
109	133	1081
110	134	1075
111	134	1070
112	135	1064
113	136	1058
114	136	1053
115	137	1047
116	138	1041
117	138	1036
118	139	1030
119	139	1026
120	140	1021
121	141	1016
122	141	1008
123	142	1004
124	142	999
125	143	994
126	144	989
127	144	983
128	145	979
129	145	974
130	146	969
131	146	965
132	147	961
133	148	957
134	148	952
135	149	947
136	149	943
137	150	937
138	150	933
139	151	929
140	151	925
141	152	921
142	153	917
143	153	912
144	154	908
145	154	903
146	155	899
147	155	895
148	156	891
149	156	887
150	157	883
151	157	879
152	158	874
153	158	870
154	159	866
155	159	862
156	159	858
157	160	855
158	160	851
159	161	847
160	161	843
161	162	840
162	162	836
163	163	832
164	163	829
165	164	825
166	164	822
167	165	818
168	165	815
169	166	811
170	166	808
171	167	805
172	167	802
173	168	798
174	168	795
175	169	792
176	169	789
177	170	786
178	170	782
179	171	779
180	171	775
181	171	772
182	172	769
183	172	766
184	173	763
185	174	762
186	174	759
187	175	756
188	175	754
189	176	751
