iter	Passed	Remaining
0	47	47498
1	48	23977
2	48	16132
3	49	12209
4	49	9859
5	51	8497
6	51	7347
7	52	6484
8	52	5811
9	53	5280
10	53	4849
11	54	4490
12	55	4188
13	55	3923
14	59	3924
15	60	3741
16	61	3576
17	62	3407
18	63	3270
19	65	3199
20	66	3080
21	66	2961
22	67	2850
23	67	2748
24	68	2653
25	68	2569
26	69	2506
27	70	2437
28	70	2369
29	71	2312
30	72	2253
31	73	2230
32	74	2194
33	76	2166
34	77	2127
35	77	2081
36	78	2035
37	78	1996
38	79	1961
39	80	1922
40	80	1884
41	81	1849
42	81	1815
43	82	1782
44	82	1751
45	83	1727
46	83	1700
47	84	1675
48	85	1651
49	85	1629
50	86	1609
51	87	1588
52	89	1596
53	89	1573
54	90	1552
55	90	1532
56	91	1511
57	91	1492
58	92	1475
59	93	1457
60	93	1439
61	94	1422
62	94	1405
63	94	1388
64	95	1373
65	96	1362
66	96	1349
67	97	1335
68	97	1321
69	98	1310
70	99	1297
71	101	1302
72	102	1302
73	103	1296
74	104	1285
75	104	1273
76	105	1262
77	106	1255
78	106	1245
79	108	1245
80	109	1244
81	110	1233
82	110	1219
83	110	1209
84	111	1199
85	111	1189
86	112	1178
87	113	1176
88	114	1167
89	119	1204
90	120	1198
91	120	1191
92	121	1184
93	122	1183
94	123	1174
95	123	1165
96	124	1156
97	124	1147
98	125	1139
99	125	1130
100	127	1133
101	127	1125
102	128	1118
103	129	1111
104	129	1105
105	130	1100
106	131	1094
107	131	1089
108	132	1082
109	132	1075
110	134	1077
111	135	1070
112	135	1064
113	136	1057
114	136	1051
115	137	1048
116	138	1042
117	138	1036
118	139	1031
119	139	1025
120	140	1022
121	141	1015
122	141	1009
123	142	1004
124	142	998
125	143	993
126	143	987
127	144	983
128	145	979
129	145	975
130	146	971
131	147	968
132	148	966
133	149	963
134	149	959
135	150	956
136	151	952
137	151	948
138	152	944
139	152	939
140	153	935
141	153	929
142	154	925
143	154	920
144	155	916
145	155	911
146	156	907
147	156	903
148	157	899
149	157	895
150	158	891
151	159	889
152	162	900
153	163	897
154	163	893
155	164	889
156	164	885
157	165	881
158	165	877
159	166	873
160	166	869
161	167	865
162	167	861
163	168	858
164	168	855
165	169	851
166	170	848
167	170	846
168	171	842
169	171	839
170	172	835
171	173	833
172	173	831
173	174	828
174	175	825
175	175	822
176	176	820
177	177	819
178	178	816
179	178	813
180	179	813
181	180	810
182	180	807
183	181	804
184	182	801
185	182	799
186	183	796
187	183	793
188	184	790
189	184	788
190	186	788
191	186	786
192	187	783
193	187	780
194	189	781
195	190	779
196	190	777
197	191	775
198	193	776
199	193	775
200	194	773
201	196	775
202	196	772
203	197	770
204	197	767
205	198	764
206	198	761
207	199	760
208	200	757
209	200	755
210	202	757
211	203	756
212	204	755
213	207	762
214	208	761
215	214	778
216	215	778
217	216	775
218	218	778
219	218	775
220	219	773
221	220	773
222	221	771
223	221	769
224	222	766
225	223	764
226	223	762
227	224	760
228	225	758
229	225	755
230	226	753
231	226	750
232	227	748
233	228	746
234	228	744
235	229	741
236	229	739
237	230	736
238	230	734
239	231	732
240	231	730
241	232	727
242	232	725
243	233	722
244	236	728
245	237	727
246	237	725
247	238	723
248	239	720
249	239	718
250	240	718
251	241	716
252	241	714
253	242	712
254	243	710
255	243	708
256	244	706
257	244	704
258	245	702
259	245	699
260	246	697
261	247	696
262	248	695
263	248	693
264	249	691
265	249	689
266	250	687
267	251	686
268	251	684
269	252	682
270	253	681
